education,workclass,occupation,salary-class,race,native-country,sex,marital-status,age
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,19
HS-grad,Private,Exec-managerial,<=50K,White,United-States,Male,Divorced,39
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,49
Assoc-acdm,Local-gov,Protective-serv,<=50K,White,United-States,Male,Never-married,23
Some-college,Private,Sales,<=50K,Black,United-States,Male,Never-married,20
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Male,Divorced,45
Some-college,Federal-gov,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,30
Some-college,State-gov,Other-service,<=50K,Black,United-States,Male,Married-civ-spouse,22
11th,Private,Machine-op-inspct,<=50K,White,Puerto-Rico,Male,Never-married,48
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,21
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Married-AF-spouse,19
Assoc-acdm,Self-emp-not-inc,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,48
9th,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,31
Bachelors,Self-emp-not-inc,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,53
Bachelors,Private,Tech-support,<=50K,White,United-States,Male,Married-civ-spouse,24
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Separated,49
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,25
Bachelors,Federal-gov,Prof-specialty,>50K,Black,United-States,Male,Married-civ-spouse,57
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,53
Masters,Private,Exec-managerial,<=50K,White,United-States,Female,Divorced,44
Assoc-voc,State-gov,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,41
Assoc-voc,Private,Prof-specialty,<=50K,White,United-States,Male,Never-married,29
Some-college,Private,Exec-managerial,<=50K,Other,United-States,Female,Married-civ-spouse,25
Prof-school,Private,Prof-specialty,>50K,White,Honduras,Female,Married-civ-spouse,47
Bachelors,Federal-gov,Exec-managerial,>50K,White,United-States,Male,Divorced,50
HS-grad,Self-emp-inc,Exec-managerial,<=50K,White,United-States,Male,Divorced,47
Some-college,Private,Tech-support,>50K,White,United-States,Male,Married-civ-spouse,43
5th-6th,Private,Machine-op-inspct,<=50K,White,Mexico,Male,Married-civ-spouse,46
Assoc-voc,Private,Other-service,<=50K,White,Puerto-Rico,Male,Married-civ-spouse,35
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,41
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,30
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,30
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,48
Doctorate,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,42
Some-college,Private,Tech-support,<=50K,White,United-States,Male,Divorced,29
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,36
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,28
HS-grad,Private,Adm-clerical,>50K,White,United-States,Female,Married-civ-spouse,53
Some-college,Self-emp-inc,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,49
Some-college,Private,Prof-specialty,<=50K,White,United-States,Male,Never-married,19
Bachelors,Private,Sales,<=50K,Black,United-States,Female,Separated,31
Bachelors,Self-emp-not-inc,Sales,>50K,White,United-States,Male,Married-civ-spouse,29
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,23
Some-college,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,79
HS-grad,Private,Other-service,<=50K,White,Mexico,Male,Never-married,27
Assoc-acdm,Private,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,40
11th,Private,Other-service,<=50K,White,United-States,Female,Never-married,18
7th-8th,Local-gov,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,31
HS-grad,Private,Sales,<=50K,White,United-States,Male,Never-married,18
Bachelors,Private,Other-service,<=50K,White,Cuba,Male,Married-civ-spouse,52
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Married-civ-spouse,46
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,59
HS-grad,Private,Craft-repair,>50K,White,United-States,Female,Divorced,44
HS-grad,Private,Sales,<=50K,White,United-States,Female,Divorced,53
HS-grad,Local-gov,Protective-serv,>50K,White,United-States,Male,Married-civ-spouse,49
Masters,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,33
9th,Private,Sales,<=50K,White,United-States,Male,Never-married,30
Doctorate,Federal-gov,Prof-specialty,>50K,White,United-States,Female,Never-married,43
Assoc-voc,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,57
Some-college,Private,Craft-repair,<=50K,White,United-States,Female,Divorced,37
Some-college,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Divorced,28
Bachelors,Local-gov,Protective-serv,>50K,White,United-States,Male,Married-civ-spouse,34
Some-college,Local-gov,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,29
Doctorate,Self-emp-not-inc,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,48
Some-college,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,37
Assoc-acdm,Private,Exec-managerial,<=50K,White,England,Female,Divorced,48
HS-grad,Federal-gov,Other-service,<=50K,Black,United-States,Male,Never-married,32
Masters,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,76
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,44
Masters,Self-emp-not-inc,Prof-specialty,<=50K,White,United-States,Female,Never-married,47
Some-college,Private,Tech-support,<=50K,White,United-States,Female,Never-married,20
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,29
HS-grad,Self-emp-inc,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,32
11th,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,30
HS-grad,Local-gov,Adm-clerical,<=50K,White,United-States,Female,Never-married,31
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,42
Bachelors,Private,Sales,<=50K,White,United-States,Male,Never-married,24
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Self-emp-not-inc,Other-service,>50K,White,Canada,Male,Married-civ-spouse,56
Some-college,Private,Sales,<=50K,White,United-States,Female,Married-civ-spouse,28
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Female,Never-married,36
9th,Private,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,53
Some-college,Self-emp-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,56
Assoc-voc,Local-gov,Craft-repair,>50K,Black,United-States,Male,Married-civ-spouse,49
Some-college,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,55
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,22
Some-college,Private,Other-service,<=50K,White,United-States,Female,Never-married,21
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,40
Bachelors,Private,Exec-managerial,<=50K,Black,Germany,Male,Never-married,30
Bachelors,State-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,29
Some-college,Private,Other-service,<=50K,Black,United-States,Male,Never-married,19
Bachelors,Private,Exec-managerial,>50K,White,United-States,Female,Married-civ-spouse,47
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,20
Assoc-acdm,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,31
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,39
Assoc-acdm,Private,Sales,<=50K,White,United-States,Female,Never-married,28
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Never-married,24
HS-grad,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,38
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,37
Assoc-acdm,Private,Tech-support,<=50K,Black,United-States,Female,Divorced,46
Masters,Federal-gov,Prof-specialty,>50K,White,Iran,Male,Married-civ-spouse,38
HS-grad,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,43
Assoc-voc,Private,Adm-clerical,<=50K,White,United-States,Female,Married-civ-spouse,27
Some-college,Private,Sales,<=50K,White,United-States,Male,Never-married,20
Some-college,Private,Craft-repair,>50K,Asian-Pac-Islander,United-States,Male,Married-civ-spouse,49
HS-grad,Self-emp-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,61
Some-college,Private,Sales,<=50K,White,United-States,Female,Never-married,27
Some-college,Private,Other-service,<=50K,White,Mexico,Male,Never-married,19
Assoc-voc,Private,Prof-specialty,>50K,White,United-States,Female,Never-married,45
Some-college,Private,Tech-support,<=50K,White,United-States,Male,Never-married,70
HS-grad,Private,Transport-moving,<=50K,Black,United-States,Female,Never-married,31
Some-college,Private,Other-service,<=50K,White,United-States,Male,Married-civ-spouse,22
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Widowed,36
11th,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,64
Some-college,Local-gov,Adm-clerical,<=50K,White,Mexico,Female,Divorced,47
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,34
Bachelors,Private,Exec-managerial,<=50K,Asian-Pac-Islander,Philippines,Female,Never-married,33
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,21
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,48
Bachelors,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,23
Some-college,Self-emp-not-inc,Sales,<=50K,Black,United-States,Male,Separated,71
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,29
Bachelors,Private,Other-service,<=50K,Black,United-States,Male,Separated,42
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Never-married,25
Masters,Self-emp-inc,Exec-managerial,<=50K,Asian-Pac-Islander,United-States,Female,Divorced,44
HS-grad,Private,Exec-managerial,<=50K,Asian-Pac-Islander,England,Female,Never-married,28
Masters,Self-emp-not-inc,Sales,>50K,White,United-States,Male,Married-civ-spouse,45
Some-college,Private,Other-service,<=50K,White,Mexico,Female,Divorced,36
Assoc-acdm,Federal-gov,Exec-managerial,<=50K,White,United-States,Male,Never-married,39
Masters,State-gov,Protective-serv,<=50K,White,United-States,Male,Widowed,46
11th,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,18
Assoc-voc,Local-gov,Prof-specialty,<=50K,White,United-States,Female,Widowed,66
HS-grad,Private,Other-service,<=50K,White,United-States,Male,Never-married,27
HS-grad,State-gov,Protective-serv,<=50K,White,United-States,Male,Married-civ-spouse,28
Some-college,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,51
Bachelors,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,27
Bachelors,State-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,28
HS-grad,Private,Sales,<=50K,White,United-States,Female,Married-spouse-absent,27
HS-grad,Private,Craft-repair,<=50K,Black,United-States,Male,Never-married,21
HS-grad,Private,Handlers-cleaners,<=50K,Black,United-States,Male,Never-married,34
HS-grad,Private,Other-service,<=50K,White,United-States,Male,Never-married,18
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,33
Some-college,Local-gov,Exec-managerial,>50K,Black,United-States,Male,Married-civ-spouse,44
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,43
Some-college,Private,Craft-repair,<=50K,Black,United-States,Male,Never-married,30
7th-8th,Private,Machine-op-inspct,>50K,White,Mexico,Male,Married-civ-spouse,40
Some-college,Federal-gov,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,37
HS-grad,Private,Adm-clerical,<=50K,Black,United-States,Male,Married-civ-spouse,34
Bachelors,Self-emp-not-inc,Exec-managerial,<=50K,White,United-States,Female,Divorced,41
Masters,Private,Prof-specialty,<=50K,White,United-States,Female,Married-civ-spouse,31
Doctorate,State-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,58
Some-college,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Divorced,38
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,24
Bachelors,Local-gov,Craft-repair,<=50K,Black,United-States,Male,Married-civ-spouse,41
Some-college,Private,Tech-support,<=50K,White,United-States,Male,Married-civ-spouse,47
Bachelors,Federal-gov,Tech-support,<=50K,White,United-States,Male,Married-civ-spouse,41
5th-6th,Private,Transport-moving,<=50K,White,Mexico,Male,Married-civ-spouse,23
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,36
Masters,Federal-gov,Exec-managerial,>50K,White,United-States,Female,Never-married,40
Masters,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,35
HS-grad,Self-emp-not-inc,Sales,<=50K,White,United-States,Male,Never-married,24
Masters,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,26
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,51
Some-college,Local-gov,Prof-specialty,<=50K,White,United-States,Female,Never-married,42
HS-grad,State-gov,Adm-clerical,<=50K,White,United-States,Female,Divorced,37
11th,Private,Sales,<=50K,White,United-States,Female,Never-married,18
Bachelors,Private,Other-service,>50K,Black,United-States,Male,Married-civ-spouse,36
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,35
HS-grad,Self-emp-inc,Sales,>50K,White,United-States,Female,Married-civ-spouse,58
11th,Private,Sales,<=50K,White,United-States,Female,Never-married,17
HS-grad,Local-gov,Transport-moving,<=50K,Black,United-States,Male,Married-civ-spouse,44
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,37
Some-college,Private,Sales,<=50K,Amer-Indian-Eskimo,United-States,Female,Never-married,35
HS-grad,Private,Craft-repair,<=50K,Asian-Pac-Islander,United-States,Male,Married-civ-spouse,60
7th-8th,Self-emp-inc,Machine-op-inspct,>50K,White,United-States,Male,Married-civ-spouse,54
Bachelors,Private,Exec-managerial,>50K,Black,United-States,Male,Never-married,37
Assoc-acdm,Private,Sales,<=50K,White,United-States,Female,Divorced,50
Bachelors,Private,Sales,<=50K,White,Poland,Male,Married-civ-spouse,38
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,45
10th,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,25
Some-college,Private,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,31
HS-grad,Private,Other-service,<=50K,Black,United-States,Male,Never-married,90
HS-grad,Private,Adm-clerical,<=50K,Black,United-States,Male,Married-civ-spouse,54
Preschool,Local-gov,Machine-op-inspct,<=50K,White,United-States,Female,Never-married,53
HS-grad,Private,Sales,<=50K,White,United-States,Female,Never-married,18
HS-grad,Self-emp-not-inc,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,66
Assoc-voc,Private,Adm-clerical,<=50K,White,Columbia,Female,Widowed,75
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,65
11th,Private,Transport-moving,<=50K,Black,United-States,Male,Separated,35
HS-grad,Private,Sales,<=50K,Black,United-States,Female,Divorced,41
Some-college,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,25
Some-college,Private,Craft-repair,<=50K,Other,United-States,Female,Divorced,33
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Never-married,28
HS-grad,State-gov,Other-service,<=50K,White,United-States,Male,Married-civ-spouse,59
Some-college,State-gov,Adm-clerical,<=50K,White,United-States,Female,Never-married,40
Bachelors,Private,Exec-managerial,>50K,White,Iran,Male,Married-civ-spouse,41
Masters,Local-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Never-married,23
Bachelors,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Self-emp-not-inc,Other-service,<=50K,White,United-States,Female,Married-civ-spouse,41
Assoc-acdm,State-gov,Protective-serv,<=50K,White,United-States,Male,Married-civ-spouse,24
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,38
HS-grad,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,58
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Never-married,32
Assoc-acdm,Private,Tech-support,>50K,White,United-States,Male,Married-civ-spouse,40
Prof-school,Private,Prof-specialty,>50K,White,United-States,Female,Married-civ-spouse,41
Bachelors,Private,Adm-clerical,<=50K,Black,United-States,Female,Married-civ-spouse,42
10th,Local-gov,Other-service,<=50K,Black,United-States,Female,Widowed,59
Some-college,Local-gov,Adm-clerical,<=50K,White,United-States,Male,Never-married,19
Some-college,Private,Transport-moving,<=50K,White,United-States,Male,Never-married,58
HS-grad,Self-emp-not-inc,Farming-fishing,>50K,Asian-Pac-Islander,Cambodia,Male,Married-civ-spouse,42
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Never-married,20
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Separated,32
Assoc-voc,Private,Exec-managerial,<=50K,White,United-States,Female,Widowed,45
7th-8th,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,50
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Divorced,36
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,45
11th,Private,Other-service,<=50K,White,United-States,Male,Never-married,17
Some-college,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,59
11th,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,26
Some-college,Self-emp-inc,Exec-managerial,>50K,Asian-Pac-Islander,Thailand,Male,Married-civ-spouse,37
HS-grad,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,64
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,33
HS-grad,Private,Craft-repair,>50K,White,United-States,Female,Married-civ-spouse,33
HS-grad,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,61
9th,Private,Other-service,<=50K,White,United-States,Male,Never-married,17
Masters,Self-emp-not-inc,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,50
Masters,Local-gov,Prof-specialty,<=50K,White,United-States,Male,Never-married,27
HS-grad,Private,Prof-specialty,<=50K,White,United-States,Female,Divorced,30
HS-grad,Private,Handlers-cleaners,<=50K,Black,United-States,Male,Married-civ-spouse,43
Some-college,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,44
Some-college,Private,Exec-managerial,<=50K,White,United-States,Female,Never-married,35
Some-college,Private,Tech-support,<=50K,White,United-States,Female,Never-married,25
Some-college,Private,Machine-op-inspct,>50K,White,United-States,Female,Married-civ-spouse,24
Bachelors,Private,Prof-specialty,<=50K,White,Germany,Female,Never-married,22
Some-college,Local-gov,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,42
Assoc-acdm,Private,Sales,<=50K,Black,United-States,Female,Divorced,34
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Divorced,60
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,21
Masters,Federal-gov,Sales,>50K,White,United-States,Male,Married-civ-spouse,57
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,41
Some-college,Private,Other-service,<=50K,White,United-States,Male,Divorced,50
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Female,Never-married,25
7th-8th,Private,Craft-repair,<=50K,White,Ecuador,Male,Married-civ-spouse,50
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,36
HS-grad,Private,Prof-specialty,<=50K,White,United-States,Female,Divorced,31
Bachelors,Local-gov,Protective-serv,<=50K,White,United-States,Male,Never-married,29
Some-college,Private,Sales,<=50K,White,United-States,Male,Never-married,21
Bachelors,Private,Tech-support,<=50K,Black,United-States,Female,Never-married,27
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,65
Bachelors,Self-emp-inc,Sales,<=50K,White,United-States,Female,Divorced,37
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,24
HS-grad,Private,Sales,<=50K,White,United-States,Male,Divorced,38
Bachelors,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,48
Some-college,Private,Other-service,<=50K,Asian-Pac-Islander,United-States,Female,Never-married,21
HS-grad,Private,Transport-moving,>50K,White,United-States,Male,Married-civ-spouse,31
HS-grad,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,55
Some-college,Private,Adm-clerical,<=50K,Asian-Pac-Islander,Laos,Female,Married-civ-spouse,24
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,43
Assoc-acdm,Private,Tech-support,<=50K,White,United-States,Male,Never-married,26
Assoc-acdm,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,46
Assoc-acdm,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,35
Some-college,Self-emp-inc,Farming-fishing,>50K,White,United-States,Male,Married-civ-spouse,41
Bachelors,Private,Sales,<=50K,White,United-States,Male,Never-married,26
Masters,Private,Exec-managerial,>50K,Asian-Pac-Islander,Taiwan,Male,Married-civ-spouse,34
Bachelors,Self-emp-not-inc,Prof-specialty,>50K,Black,United-States,Female,Divorced,36
Some-college,Private,Sales,<=50K,White,United-States,Male,Never-married,22
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,24
Some-college,Self-emp-not-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,77
5th-6th,Private,Machine-op-inspct,<=50K,White,Mexico,Female,Married-civ-spouse,22
Some-college,Private,Tech-support,<=50K,White,United-States,Female,Never-married,29
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Widowed,62
HS-grad,Self-emp-not-inc,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,39
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,43
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Divorced,35
11th,Private,Exec-managerial,<=50K,White,United-States,Female,Never-married,29
Masters,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,76
HS-grad,Self-emp-not-inc,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,63
Some-college,Private,Prof-specialty,>50K,White,United-States,Female,Married-civ-spouse,43
HS-grad,Self-emp-not-inc,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,58
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Never-married,66
Some-college,Private,Craft-repair,<=50K,Black,United-States,Male,Never-married,41
Bachelors,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,26
Assoc-voc,Private,Other-service,<=50K,White,United-States,Male,Never-married,47
10th,Local-gov,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,55
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,53
5th-6th,Private,Other-service,<=50K,White,Mexico,Male,Never-married,17
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,30
Masters,Private,Prof-specialty,<=50K,White,United-States,Male,Never-married,49
HS-grad,Private,Sales,<=50K,Black,Haiti,Male,Never-married,19
HS-grad,Private,Other-service,<=50K,Black,United-States,Male,Married-civ-spouse,45
Assoc-acdm,Private,Sales,<=50K,White,United-States,Male,Never-married,26
Assoc-voc,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,State-gov,Protective-serv,>50K,White,United-States,Male,Married-civ-spouse,36
HS-grad,Private,Farming-fishing,<=50K,White,United-States,Male,Never-married,33
Some-college,State-gov,Protective-serv,<=50K,Black,United-States,Female,Never-married,22
Bachelors,Self-emp-not-inc,Sales,<=50K,White,United-States,Male,Never-married,43
Assoc-acdm,Private,Other-service,<=50K,White,Iran,Male,Married-spouse-absent,56
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Never-married,31
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,33
HS-grad,Private,Other-service,<=50K,White,United-States,Male,Married-civ-spouse,26
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,33
11th,Local-gov,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,46
HS-grad,Federal-gov,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,38
11th,Private,Other-service,<=50K,Other,United-States,Male,Widowed,65
Assoc-voc,Private,Tech-support,>50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Married-civ-spouse,42
9th,Self-emp-not-inc,Craft-repair,<=50K,White,Portugal,Male,Married-civ-spouse,26
10th,Private,Other-service,<=50K,White,United-States,Female,Married-civ-spouse,36
Masters,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,62
Bachelors,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,43
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Divorced,43
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-spouse-absent,22
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,28
Some-college,Self-emp-not-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,56
Assoc-acdm,Private,Sales,<=50K,White,United-States,Female,Never-married,22
